year,inflation
1966,9.78
1967,12.19
1968,15.6
1969,16.42
1970,3.49
1971,4.78
1972,7.64
1973,10.4
1974,19.6
1975,26.06
1976,6.86
1977,11.6
1978,6.58
1979,12.95
1980,30.2
1981,25.65
1982,28.93
1983,27.06
1984,36.15
1985,33.28
1986,32.43
1987,29.95
1988,31.19
1989,25.85
1990,35.83
1991,28.7
1992,21.85
1993,25.28
1994,34.08
1995,27.43
1996,20.98
1997,16.09
1998,12.8
1999,7.89
2000,5.92
2001,5.15
2002,5.32
2003,5.3
2004,4.74
2005,5.03
2006,7.25
2007,7.03
2008,10.28
2009,12.14
2010,6.2
2011,12.69
2012,16.0
2013,7.87
2014,6.13
2015,5.59
2016,5.17
2017,5.32
2018,3.49
2019,3.46
2020,3.29
2021,3.69
2022,4.35
2023,3.8
2024,3.06
